"perfect item, marvellous EBAYER, many thanks!!!!!!greetings from Austria",5,Buyer: t***r ( 394) ,2013-05-04
absolutely stunning,5,Buyer: d***d ( 33) ,2013-05-03
Good communication ... All therapists soon ... Highly recommended,5,Buyer: r***o ( 19) ,2013-05-03
Great!!! Thanks! A+++,5,Buyer: u***u ( 4350) ,2013-05-02
absolutely beautiful so thrilled aaaaaa EBAYER,5,Buyer: j***n ( 87) ,2013-04-30
"What a beautiful ring, ",5,Buyer: i***d ( 18) ,2013-04-29
Gracias thanks you my girlfriend she loved,5,Buyer: r***s ( 13) ,2013-04-29
good customer service,5,Buyer: e***a ( 34) ,2013-04-28
"Beautiful!!! I love it. Excellent customer service, A+++++",5,Buyer: t***g ( 902) ,2013-04-27
Great product. Very happy. Thank you,5,Buyer: a***a ( 1 ) ,2013-04-27
I love it! Will be buying again,5,Buyer: u***i ( 53) ,2013-04-27
"Awesome, thank you so much!!!!!!!",5,Buyer: f***e ( 910) ,2013-04-26
Beautiful Ring! Got Another ring and Customer Service is the BEST!!!,5,Buyer: r***6 ( 204) ,2013-04-25
Awesome,5,Buyer: a***b ( 17) ,2013-04-24
Quick ship!,5,Buyer: f***p ( 360) ,2013-04-23
Indescribably gorgeous in platinum!!! Very happy.,5,Buyer: l***d ( 522) ,2013-04-23
Thank you.,5,Buyer: t***l ( 116) ,2013-04-23
"item is gorgeous, seller promt and courteous, will recommend to friends",5,Buyer: b***3 ( 237) ,2013-04-22
Incredibly beautiful items. Thank you very much!,5,Buyer: s***o ( 60) ,2013-04-22
"BEAUTIFUL! I'm so pleased with this ring. Fast, easy transaction, thank you!",5,Buyer: s***p ( 370) ,2013-04-20
"Excellent communication, great product. AAA+++ seller",5,Buyer: t***t ( 51) ,2013-04-19
Awesome transaction. Love the ring! Thank you!!!!!!!,5,Buyer: o***r ( 133) ,2013-04-18
Great ebayer fast shipping and excellent description ,5,Buyer: g***n ( 117) ,2013-04-17
n/a,5,Buyer: h***n ( 115) ,2013-04-17
Thanks for the great deal,5,Buyer: k***8 ( 46) ,2013-04-17
Awesome seller. Fast shipping. Good communication. ,5,Buyer: b***c ( 93) ,2013-04-16
Do you still get the free earrings with this,5,Buyer: 8***8 ( 82) ,2013-04-15
Thanks so much!_Ù÷Ûloving it!!!,5,Buyer: m***e ( 221) ,2013-04-14
Thanks,5,Buyer: o***a ( 9 ) ,2013-04-12
A++++ seller fast shipping .... Love it! ,5,Buyer: y***i ( 170) ,2013-04-12
Great seller. amazing fast shipping. Great communication. stunning product,5,Buyer: g***e ( 30) ,2013-04-12
Beautiful! Can not tell from the real thing!,5,Buyer: j***o ( 109) ,2013-04-12
Received the item thank you so much it's gorgeous ,5,Buyer: h***c ( 47) ,2013-04-11
exceptional service and quality as always,5,Buyer: o***1 ( 134) ,2013-04-10
Awesome deal!! Love the ring!! Highly recommended!!! A++++++++++++++++++,5,Buyer: t***o ( 200) ,2013-04-10
BEAUTIFUL my daughter will be so happy thank you!!,5,Buyer: d***6 ( 274) ,2013-04-10
Transaction went very smooth....she was very impressed.,5,Buyer: e***v ( 13) ,2013-04-10
Great item for a great price!!!,5,Buyer: 4***4 ( 68) ,2013-04-09
Absotlutely STUNNING!!!!,5,Buyer: l***a ( 84) ,2013-04-08
"Beautifulllllllll Ring, Best jewelry seller I ever dealed with Hands down!!",5,Buyer: e***g ( 227) ,2013-04-08
I found this service very helpful and very accurate.The finished product amazing,5,Buyer: u***u ( 1 ) ,2013-04-08
Thankyou so much ...Your quick and professional service was a breath of fresh ai,5,Buyer: t***y ( 208) ,2013-04-08
Very easy transaction ring was top quality my wife loved it,5,Buyer: e***i ( 2 ) ,2013-04-07
